Step Temp Press PotEng Nconf Lcom[3] Ucom[3] fe fx fy fz fse fsx fsy fsz 
    9300    298.82477   -221.09561   -683399.56          500    93.322425    120.81862   -524.52273   -12.798296    0.1359794   -58.245956   -15130.363     102.3108   -77.968332   -87.125611 
    9400    299.63966   -78.592846   -683659.72          495    93.322196     120.8166   -526.33668   -13.839164   0.10997343   -58.476254   -15097.449   -109.72997    185.13534   -82.971529 
    9500    299.87015   -22.131922   -683705.11          496    93.307956    120.80288   -534.74297   -13.136301 -0.0015856961   -59.678249   -15190.932    74.397638   -92.319323    230.13972 
    9600    297.47218    881.48662   -683392.59          499    93.298873    120.79331   -511.20498   -13.679934   0.10389975   -56.784653   -14976.653    106.90579   -10.918251   -259.58532 
    9700    299.31645    267.02168   -683331.49          495    93.287556    120.78205   -506.06876   -14.607512 -0.0048903728   -57.847078   -15064.838    101.94472     -117.614    6.2526197 
    9800    301.32284    14.507563   -683358.98          493    93.283076    120.77861   -522.84036   -13.286315   0.22378382     -58.8842   -15061.441   -92.098674   -107.80419    102.89186 
    9900    299.33001   -239.99253   -683267.73          494    93.277311    120.77356   -529.95333    -13.63511   0.16359536   -59.551103   -15223.898   -100.78938   -18.798154   -136.88055 
   10000    300.39133   -181.18009   -683416.39          494    93.277689    120.77305   -522.75682   -11.416236   0.30350571   -58.985244   -15116.821    48.250741   -9.5900645    60.173846 
   10100    298.88962   -334.58189   -683612.71          495     93.28095    120.77728   -513.12199   -12.982603 -0.077775429   -57.923165   -15182.099   -134.03178    54.951993   -31.402446 
   10200    296.57923   -255.28352   -683593.43          501    93.288393     120.7838   -526.19232   -13.882476  0.023489139   -59.056345   -15073.206    59.115755    39.526936    75.903113 
   10300    298.07024    302.86106   -683629.31          499    93.291122    120.78602   -512.31403   -14.180859 -0.020354275     -56.5996   -15074.739   -136.65314   -27.756673   -44.913519 
   10400    299.44591    368.36896   -683518.73          497    93.296758    120.79172   -529.21021   -14.140153 -0.053129431   -58.851852   -15141.284    83.292891    75.191227   -14.257195 
   10500    300.10388    647.08966   -683328.39          496    93.298169    120.79309   -551.38793   -15.245261 -0.060291939   -60.742276    -15186.44    113.76921   -35.719269    -111.3769 
